105.59.80.199|-|-|28/May/2014:16:00:37 +1100|GET /apps/cart.jsp?appID=8819 HTTP/1.0|200|4988|https://www.taylor.info/tags/index/|Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_4; rv:1.9.3.20) Gecko/2010-12-15 16:33:36 Firefox/3.6.20
132.82.246.135|-|-|28/May/2014:16:01:10 +1100|GET /apps/cart.jsp?appID=5780 HTTP/1.0|200|5071|https://www.gonzalez-robertson.com/author/|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; rv:1.9.6.20) Gecko/2016-02-23 08:21:46 Firefox/4.0
175.228.4.138|-|-|28/May/2014:16:01:40 +1100|GET /app/main/posts HTTP/1.0|200|4963|http://aguirre-terry.com/explore/categories/category/|Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_5 rv:6.0; en-US) AppleWebKit/534.15.3 (KHTML, like Gecko) Version/4.1 Safari/534.15.3
80.104.14.0|-|-|28/May/2014:16:02:19 +1100|GET /posts/posts/explore HTTP/1.0|200|5002|http://www.lopez.com/|Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2014-06-06 19:14:41 Firefox/3.8
162.150.81.114|-|-|28/May/2014:16:02:59 +1100|PUT /wp-content HTTP/1.0|200|5063|https://www.perez-munoz.org/|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4 rv:2.0; sl-SI) AppleWebKit/533.18.7 (KHTML, like Gecko) Version/5.0.3 Safari/533.18.7
103.61.5.112|-|-|28/May/2014:16:03:32 +1100|PUT /wp-admin HTTP/1.0|200|5003|https://www.lawrence-kaiser.com/privacy.htm|Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0) AppleWebKit/5322 (KHTML, like Gecko) Chrome/15.0.841.0 Safari/5322
47.6.118.71|-|-|28/May/2014:16:04:05 +1100|PUT /app/main/posts HTTP/1.0|200|5024|http://wallace.com/privacy/|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5310 (KHTML, like Gecko) Chrome/13.0.836.0 Safari/5310
236.69.253.159|-|-|28/May/2014:16:04:37 +1100|POST /search/tag/list HTTP/1.0|200|5074|http://www.pitts.com/categories/main/main/|Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_0 rv:5.0; it-IT) AppleWebKit/532.12.2 (KHTML, like Gecko) Version/4.0.4 Safari/532.12.2
239.91.108.224|-|-|28/May/2014:16:05:10 +1100|GET /wp-content HTTP/1.0|200|5002|https://www.lawrence.com/wp-content/list/main/main.html|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_9 rv:3.0; en-US) AppleWebKit/532.17.3 (KHTML, like Gecko) Version/5.1 Safari/532.17.3
52.226.148.192|-|-|28/May/2014:16:05:40 +1100|PUT /app/main/posts HTTP/1.0|200|4970|http://mitchell.com/privacy.php|Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5342 (KHTML, like Gecko) Chrome/14.0.853.0 Safari/5342
91.97.150.122|-|-|28/May/2014:16:06:10 +1100|GET /wp-content HTTP/1.0|200|5005|http://www.rodriguez.com/|Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.845.0 Safari/5342
103.33.18.182|-|-|28/May/2014:16:06:50 +1100|POST /search/tag/list HTTP/1.0|200|4987|https://bryan.org/list/posts/author/|Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5340 (KHTML, like Gecko) Chrome/14.0.832.0 Safari/5340
19.28.30.9|-|-|28/May/2014:16:07:39 +1100|GET /wp-content HTTP/1.0|200|5014|https://www.everett.info/categories/blog/search/privacy.htm|Opera/8.33.(X11; Linux i686; it-IT) Presto/2.9.173 Version/11.00
86.29.120.54|-|-|28/May/2014:16:08:19 +1100|PUT /posts/posts/explore HTTP/1.0|200|5028|http://www.johnson.com/privacy/|Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.1.7 (KHTML, like Gecko) Version/5.0.3 Safari/535.1.7
130.162.25.241|-|-|28/May/2014:16:09:05 +1100|GET /posts/posts/explore HTTP/1.0|200|5037|http://novak-robbins.com/about/|Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2014-12-05 02:59:11 Firefox/3.8
199.138.28.134|-|-|28/May/2014:16:09:35 +1100|GET /search/tag/list HTTP/1.0|200|5023|https://wilson.org/|Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.1.20) Gecko/2011-01-17 13:08:05 Firefox/15.0
164.250.216.10|-|-|28/May/2014:16:10:15 +1100|GET /wp-admin HTTP/1.0|200|5043|https://www.west.info/login/|Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/535.42.6 (KHTML, like Gecko) Version/4.0 Safari/535.42.6
52.146.166.73|-|-|28/May/2014:16:10:57 +1100|GET /search/tag/list HTTP/1.0|200|5053|https://jones-atkinson.info/author.php|Mozilla/5.0 (X11; Linux i686) AppleWebKit/5312 (KHTML, like Gecko) Chrome/14.0.825.0 Safari/5312
