106.125.185.75|-|-|09/May/2014:04:00:32 +1100|GET /apps/cart.jsp?appID=3064 HTTP/1.0|200|4963|http://www.shaw.com/main.jsp|Opera/9.20.(Windows 95; it-IT) Presto/2.9.181 Version/10.00
203.36.194.215|-|-|09/May/2014:04:01:06 +1100|GET /list HTTP/1.0|200|4960|https://www.lopez.biz/list/explore/search/about.jsp|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_8; rv:1.9.3.20) Gecko/2012-08-07 23:48:21 Firefox/3.6.4
115.176.158.45|-|-|09/May/2014:04:01:49 +1100|DELETE /app/main/posts HTTP/1.0|200|4980|https://www.gomez.com/privacy/|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4 rv:2.0; sl-SI) AppleWebKit/534.22.5 (KHTML, like Gecko) Version/5.0 Safari/534.22.5
84.171.249.47|-|-|09/May/2014:04:02:39 +1100|PUT /search/tag/list HTTP/1.0|200|5010|http://www.miller.biz/|Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; it-IT) AppleWebKit/533.40.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.40.3
243.65.203.18|-|-|09/May/2014:04:03:14 +1100|GET /apps/cart.jsp?appID=3594 HTTP/1.0|200|4964|http://carroll.org/privacy/|Opera/9.44.(X11; Linux i686; sl-SI) Presto/2.9.161 Version/11.00
196.170.122.149|-|-|09/May/2014:04:03:53 +1100|GET /list HTTP/1.0|200|5059|http://shields.org/main/main.php|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8; rv:1.9.5.20) Gecko/2011-04-28 12:29:48 Firefox/3.6.4
141.192.73.89|-|-|09/May/2014:04:04:42 +1100|PUT /search/tag/list HTTP/1.0|200|4956|https://www.yang-frye.com/home/|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3; rv:1.9.3.20) Gecko/2016-03-25 12:31:44 Firefox/11.0
186.12.247.224|-|-|09/May/2014:04:05:29 +1100|GET /wp-admin HTTP/1.0|200|5055|https://jones-adams.info/faq/|Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2010-10-07 21:15:41 Firefox/3.6.17
34.189.37.110|-|-|09/May/2014:04:06:17 +1100|GET /apps/cart.jsp?appID=5035 HTTP/1.0|200|4990|https://www.ramirez-woods.com/categories/category/app/terms.jsp|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; rv:1.9.5.20) Gecko/2012-07-08 06:26:50 Firefox/3.6.1
216.199.5.195|-|-|09/May/2014:04:07:06 +1100|GET /search/tag/list HTTP/1.0|200|5063|https://mueller.com/|Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_9; rv:1.9.2.20) Gecko/2013-10-18 22:09:15 Firefox/9.0
235.151.186.206|-|-|09/May/2014:04:07:36 +1100|GET /wp-admin HTTP/1.0|200|5019|http://www.smith.com/search.htm|Opera/8.40.(X11; Linux i686; sl-SI) Presto/2.9.164 Version/11.00
