51.123.176.29|-|-|18/May/2014:07:00:30 +1100|DELETE /apps/cart.jsp?appID=5796 HTTP/1.0|200|5022|https://montgomery.com/faq.htm|Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2010-07-10 12:20:19 Firefox/3.8
34.77.182.225|-|-|18/May/2014:07:01:01 +1100|GET /app/main/posts HTTP/1.0|200|4950|https://www.torres.com/|Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; sl-SI) AppleWebKit/533.3.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6533.3.4
136.47.147.133|-|-|18/May/2014:07:01:38 +1100|GET /wp-content HTTP/1.0|200|5033|http://daniel-anderson.org/list/main/search/|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_3) AppleWebKit/5351 (KHTML, like Gecko) Chrome/14.0.804.0 Safari/5351
160.76.171.165|-|-|18/May/2014:07:02:08 +1100|DELETE /wp-content HTTP/1.0|200|5039|https://www.golden-smith.com/main/category/blog/author/|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.873.0 Safari/5331
187.81.232.179|-|-|18/May/2014:07:02:49 +1100|GET /wp-content HTTP/1.0|200|4997|https://oliver-pena.com/category/|Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9) AppleWebKit/5320 (KHTML, like Gecko) Chrome/14.0.835.0 Safari/5320
142.118.84.122|-|-|18/May/2014:07:03:25 +1100|GET /app/main/posts HTTP/1.0|200|4976|http://www.ferguson.org/index/|Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_2 rv:2.0; en-US) AppleWebKit/534.48.4 (KHTML, like Gecko) Version/5.0 Safari/534.48.4
232.222.13.35|-|-|18/May/2014:07:04:15 +1100|PUT /list HTTP/1.0|200|5079|https://www.parker.com/categories/privacy.jsp|Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1) AppleWebKit/5351 (KHTML, like Gecko) Chrome/13.0.852.0 Safari/5351
136.16.229.195|-|-|18/May/2014:07:04:57 +1100|PUT /wp-admin HTTP/1.0|200|4993|https://www.massey-harris.com/homepage/|Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.1)
105.201.223.215|-|-|18/May/2014:07:05:29 +1100|PUT /wp-admin HTTP/1.0|200|4984|https://lamb-beck.org/blog/terms/|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/5351 (KHTML, like Gecko) Chrome/13.0.852.0 Safari/5351
48.168.34.246|-|-|18/May/2014:07:06:19 +1100|PUT /wp-content HTTP/1.0|200|5001|https://mercer.com/|Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8; rv:1.9.2.20) Gecko/2015-11-13 16:22:56 Firefox/3.6.8
140.15.134.81|-|-|18/May/2014:07:06:56 +1100|POST /app/main/posts HTTP/1.0|301|5064|https://www.crosby.com/list/categories/author.jsp|Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2015-12-03 19:15:13 Firefox/3.6.16
